iteration;pheromone_exponent;length_exponent;evaporation_coefficient;pheromone_leaving_coefficient;total_distance;path;
76;1.3;1.25;0.25;1.5555555555555556;4168.133690634159;[0, 24, 3, 12, 10, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 21, 9, 16, 7, 2, 0];
77;1.3;1.25;0.25;1.6666666666666665;3682.136116734861;[0, 24, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 6, 3, 0];
78;1.3;1.25;0.25;1.7777777777777777;4253.088951440886;[0, 24, 18, 19, 8, 13, 5, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 23, 17, 3, 15, 0];
79;1.3;1.25;0.25;1.8888888888888888;4112.781010264725;[0, 24, 3, 6, 17, 23, 15, 18, 8, 19, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 20, 1, 12, 10, 7, 0];
80;1.3;1.25;0.25;2.0;4090.601367133541;[0, 24, 6, 20, 3, 12, 1, 10, 7, 9, 16, 21, 2, 14, 22, 11, 4, 5, 13, 19, 8, 18, 15, 23, 17, 0];
81;1.3;1.25;0.375;1.0;3760.506177106163;[0, 24, 3, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 0];
82;1.3;1.25;0.375;1.1111111111111112;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
83;1.3;1.25;0.375;1.2222222222222223;3719.674589203307;[0, 24, 23, 17, 6, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 3, 0];
84;1.3;1.25;0.375;1.3333333333333333;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
85;1.3;1.25;0.375;1.4444444444444444;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
